,uniq.Subject,QueryID,n,mean.Perc.Ident,sd.Perc.Ident,uniq.Subject.Type,genus,notes
339,Mycosphaerella_sp|KX908312|SH1521456.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Mycosphaerella;s__Mycosphaerella_sp,ASV1354,1,99.468,NA,Fungi,NA,
340,Ustilaginaceae_sp|KU057813|SH1519656.08FU|reps|k__Fungi;p__Basidiomycota;c__Ustilaginomycetes;o__Ustilaginales;f__Ustilaginaceae;g__unidentified;s__Ustilaginaceae_sp,ASV1355,1,99.627,NA,Fungi,NA,
341,Dothideomycetes_sp|GU721438|SH1567485.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__unidentified;f__unidentified;g__unidentified;s__Dothideomycetes_sp,ASV1356,1,99.438,NA,Fungi,NA,
342,Nectriaceae_sp|MG956781|SH1610184.08FU|reps|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__unidentified;s__Nectriaceae_sp,ASV1357,1,97.895,NA,Fungi,NA,
343,Epicoccum_nigrum|FJ426996|SH2232030.08FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae;g__Epicoccum;s__Epicoccum_nigrum,ASV136,1,99.441,NA,Fungi,NA,
344,Coprinopsis_pseudofriesii|HQ847016|SH1566183.08FU|reps|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Psathyrellaceae;g__Coprinopsis;s__Coprinopsis_pseudofriesii,ASV1360,1,94.845,NA,Fungi,NA,
345,Pleosporales_sp|LK936371|SH1525455.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__unidentified;g__unidentified;s__Pleosporales_sp,ASV344,1,100,NA,Fungi,NA,
346,Occultifur_sp|KX929057|SH1613480.08FU|reps|k__Fungi;p__Basidiomycota;c__Cystobasidiomycetes;o__Cystobasidiales;f__Cystobasidiaceae;g__Occultifur;s__Occultifur_sp,ASV1364,1,90.964,NA,Fungi,NA,
347,Dissoconium_aciculare|AF173308|SH1718969.08FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Dissoconiaceae;g__Dissoconium;s__Dissoconium_aciculare,ASV1365,1,95.495,NA,Fungi,NA,
348,Dimennazyma_cistialbidi|KF036589|SH1517365.08FU|refs|k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Naemateliaceae;g__Dimennazyma;s__Dimennazyma_cistialbidi,ASV1366,1,99.231,NA,Fungi,NA,
349,Ramularia_pratensis|KC867794|SH1577475.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Ramularia;s__Ramularia_pratensis,ASV1368,1,94.149,NA,Fungi,NA,
350,Leptospora_sp|KX515521|SH1595852.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Leptospora;s__Leptospora_sp,ASV349,1,98.214,NA,Fungi,NA,
351,Corticiales_sp|JF449872|SH1505505.08FU|reps|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Corticiales;f__unidentified;g__unidentified;s__Corticiales_sp,ASV1370,1,94.077,NA,Fungi,NA,
352,Helotiales_sp|GU083256|SH1564475.08FU|reps|k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__unidentified;g__unidentified;s__Helotiales_sp,ASV1373,1,86.667,NA,Fungi,NA,
353,Lectera_colletotrichoides|JQ647451|SH1644396.08FU|reps|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Plectosphaerellaceae;g__Lectera;s__Lectera_colletotrichoides,ASV352,1,99.462,NA,Fungi,NA,
354,AY129726.1----AY129727.1----AY129728.1,ASV1376,3,96,0,Plant,Panicum,
355,Leptosphaeria_sp|KC867873|SH1525140.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Leptosphaeriaceae;g__Leptosphaeria;s__Leptosphaeria_sp,ASV355,1,96.311,NA,Fungi,NA,
356,Capnodiales_sp|JF691278|SH1627149.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__unidentified;g__unidentified;s__Capnodiales_sp,ASV1378,1,90.206,NA,Fungi,NA,
357,Dothideomycetes_sp|KT582277|SH1649688.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__unidentified;f__unidentified;g__unidentified;s__Dothideomycetes_sp,ASV1380,1,93.074,NA,Fungi,NA,
358,Spizellomycetales_sp|KX514841|SH1570165.08FU|reps|k__Fungi;p__Chytridiomycota;c__Spizellomycetes;o__Spizellomycetales;f__unidentified;g__unidentified;s__Spizellomycetales_sp,ASV1383,1,99.273,NA,Fungi,NA,
359,Filobasidium_stepposum|DQ222455|SH2525086.08FU|refs|k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Filobasidiaceae;g__Filobasidium;s__Filobasidium_stepposum,ASV1384,1,98.925,NA,Fungi,NA,
360,Fungi_sp|FJ627262|SH1548020.08FU|reps|k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__Fungi_sp,ASV1387,1,97.571,NA,Fungi,NA,
361,Colletotrichum_gloeosporioides|MH168109|SH1543759.08FU|reps|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Glomerellaceae;g__Colletotrichum;s__Colletotrichum_gloeosporioides,ASV1388,1,98.276,NA,Fungi,NA,
362,Fungi_sp|MH019936|SH1523077.08FU|reps|k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__Fungi_sp,ASV139,1,100,NA,Fungi,NA,
363,Chaetothyriales_sp|AJ877178|SH1564886.08FU|reps|k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__unidentified;g__unidentified;s__Chaetothyriales_sp,ASV1397,1,89.123,NA,Fungi,NA,
364,Porobeltraniella_porosa|KX519520|SH1563696.08FU|reps|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Beltraniaceae;g__Porobeltraniella;s__Porobeltraniella_porosa,ASV1399,1,86.765,NA,Fungi,NA,
365,Epicoccum_nigrum|FJ426996|SH2232030.08FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae;g__Epicoccum;s__Epicoccum_nigrum,ASV14,1,98.324,NA,Fungi,NA,
366,Zygophiala_inaequalis|KF646709|SH1719086.08FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Schizothyriaceae;g__Zygophiala;s__Zygophiala_inaequalis,ASV1400,1,94.931,NA,Fungi,NA,
367,Ascomycota_sp|MG516662|SH1518606.08FU|reps|k__Fungi;p__Ascomycota;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__Ascomycota_sp,ASV1402,1,97.98,NA,Fungi,NA,
368,Entyloma_polysporum|AY081046|SH1516878.08FU|reps|k__Fungi;p__Basidiomycota;c__Exobasidiomycetes;o__Entylomatales;f__Entylomataceae;g__Entyloma;s__Entyloma_polysporum,ASV1403,1,100,NA,Fungi,NA,
369,Taphrina_carpini|AY239215|SH1519934.08FU|refs|k__Fungi;p__Ascomycota;c__Taphrinomycetes;o__Taphrinales;f__Taphrinaceae;g__Taphrina;s__Taphrina_carpini,ASV1405,1,98.131,NA,Fungi,NA,
370,Didymocyrtis_cladoniicola|KX516501|SH1646329.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Didymocyrtis;s__Didymocyrtis_cladoniicola,ASV1406,1,99.603,NA,Fungi,NA,
371,Rachicladosporium_cboliae|KT581767|SH1574010.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Rachicladosporium;s__Rachicladosporium_cboliae,ASV1407,1,97.021,NA,Fungi,NA,
372,Taphrina_veronaerambellii|AY239216|SH1519974.08FU|refs|k__Fungi;p__Ascomycota;c__Taphrinomycetes;o__Taphrinales;f__Taphrinaceae;g__Taphrina;s__Taphrina_veronaerambellii,ASV1408,1,90.826,NA,Fungi,NA,
373,Genolevuria_amylolytica|KF036585|SH1574509.08FU|refs|k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleraceae;g__Genolevuria;s__Genolevuria_amylolytica,ASV1409,1,97.619,NA,Fungi,NA,
374,Aureobasidium_namibiae|KT693730|SH2149997.08FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Aureobasidiaceae;g__Aureobasidium;s__Aureobasidium_namibiae,ASV141,1,100,NA,Fungi,NA,
375,Ascomycota_sp|JQ246356|SH1560799.08FU|reps|k__Fungi;p__Ascomycota;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__Ascomycota_sp,ASV1410,1,99.522,NA,Fungi,NA,
376,Teratosphaeriaceae_sp|KP278165|SH1571470.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Teratosphaeriaceae;g__unidentified;s__Teratosphaeriaceae_sp,ASV1412,1,94.712,NA,Fungi,NA,
377,Holtermanniella_wattica|FJ473373|SH2039839.08FU|refs|k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Holtermanniales;f__Holtermanniales_fam_Incertae_sedis;g__Holtermanniella;s__Holtermanniella_wattica,ASV1413,1,99.291,NA,Fungi,NA,
378,Sordariomycetes_sp|KT202947|SH1555457.08FU|reps|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__unidentified;f__unidentified;g__unidentified;s__Sordariomycetes_sp,ASV1414,1,100,NA,Fungi,NA,
379,Rachicladosporium_cboliae|KT581767|SH1574010.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Rachicladosporium;s__Rachicladosporium_cboliae,ASV1415,1,91.489,NA,Fungi,NA,
380,Coniothyrium_sidae|KF251149|SH1614488.08FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Coniothyriaceae;g__Coniothyrium;s__Coniothyrium_sidae,ASV1416,1,99.415,NA,Fungi,NA,
381,Diaporthe_acaciarum|KP004460|SH1704432.08FU|refs_singleton|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Diaporthales;f__Diaporthaceae;g__Diaporthe;s__Diaporthe_acaciarum,ASV1418,1,96.996,NA,Fungi,NA,
382,Aureobasidium_namibiae|KT693730|SH2149997.08FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Aureobasidiaceae;g__Aureobasidium;s__Aureobasidium_namibiae,ASV142,1,99.545,NA,Fungi,NA,
383,Armillaria_tabescens|KP960546|SH1577898.08FU|reps|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Physalacriaceae;g__Armillaria;s__Armillaria_tabescens,ASV1420,1,99.262,NA,Fungi,NA,
384,Setomelanomma_holmii|KX844983|SH1616189.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Setomelanomma;s__Setomelanomma_holmii,ASV1421,1,93.119,NA,Fungi,NA,
385,Pleosporales_sp|KP990803|SH1612874.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__unidentified;g__unidentified;s__Pleosporales_sp,ASV1422,1,99.444,NA,Fungi,NA,
386,Ascomycota_sp|KM266145|SH1637044.08FU|reps|k__Fungi;p__Ascomycota;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__Ascomycota_sp,ASV1423,1,99.5,NA,Fungi,NA,
387,Cryptococcus_sp|EU852363|SH1648405.08FU|reps|k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Tremellaceae;g__Cryptococcus;s__Cryptococcus_sp,ASV1424,1,98.131,NA,Fungi,NA,
388,Aureobasidium_namibiae|KT693730|SH2149997.08FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Aureobasidiaceae;g__Aureobasidium;s__Aureobasidium_namibiae,ASV1425,1,99.091,NA,Fungi,NA,
389,Phoma_sp|KY484798|SH1548038.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae;g__Phoma;s__Phoma_sp,ASV1427,1,88.128,NA,Fungi,NA,
390,Nigrospora_oryzae|DQ219433|SH1549606.08FU|refs|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Trichosphaeriales;f__Trichosphaeriaceae;g__Nigrospora;s__Nigrospora_oryzae,ASV1428,1,98.14,NA,Fungi,NA,
391,Hymenochaete_yunnanensis|JQ279571|SH1600744.08FU|refs|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Hymenochaetales;f__Hymenochaetaceae;g__Hymenochaete;s__Hymenochaete_yunnanensis,ASV1429,1,92.523,NA,Fungi,NA,
392,Dioszegia_zsoltii_var._zsoltii|AF385445|SH2037713.08FU|refs|k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Dioszegia;s__Dioszegia_zsoltii_var._zsoltii----Dioszegia_zsoltii_var._yunnanensis|AF385450|SH1609777.08FU|refs|k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Dioszegia;s__Dioszegia_zsoltii_var._yunnanensis,ASV143,2,96.774,0,Fungi,NA,
393,Asterostroma_cervicolor|AB439558|SH1527460.08FU|refs|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Lachnocladiaceae;g__Asterostroma;s__Asterostroma_cervicolor,ASV1430,1,95.238,NA,Fungi,NA,
394,Vishniacozyma_victoriae|AF444469|SH1528207.08FU|refs|k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Vishniacozyma;s__Vishniacozyma_victoriae,ASV401,1,97.546,NA,Fungi,NA,
395,Fusarium_solani|KC577187|SH1566326.08FU|reps|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium;s__Fusarium_solani,ASV1432,1,97.525,NA,Fungi,NA,
396,Taphrina_carpini|AY239215|SH1519934.08FU|refs|k__Fungi;p__Ascomycota;c__Taphrinomycetes;o__Taphrinales;f__Taphrinaceae;g__Taphrina;s__Taphrina_carpini,ASV1434,1,97.183,NA,Fungi,NA,
397,Nigrospora_oryzae|DQ219433|SH1549606.08FU|refs|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Trichosphaeriales;f__Trichosphaeriaceae;g__Nigrospora;s__Nigrospora_oryzae,ASV1436,1,98.605,NA,Fungi,NA,
398,Leptospora_sp|KX515521|SH1595852.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Leptospora;s__Leptospora_sp,ASV1437,1,99.554,NA,Fungi,NA,
399,Trichoderma_scalesiae|DQ841742|SH2303718.08FU|refs|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreaceae;g__Trichoderma;s__Trichoderma_scalesiae,ASV1438,1,99.565,NA,Fungi,NA,
400,Anthracocystis_hwangensis|AY740051|SH1509856.08FU|refs|k__Fungi;p__Basidiomycota;c__Ustilaginomycetes;o__Ustilaginales;f__Ustilaginaceae;g__Anthracocystis;s__Anthracocystis_hwangensis,ASV1439,1,98.859,NA,Fungi,NA,
401,Dendryphion_europaeum|MG208162|SH1573987.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Torulaceae;g__Dendryphion;s__Dendryphion_europaeum,ASV1440,1,97.931,NA,Fungi,NA,
402,Zasmidium_xenoparkii|DQ303027|SH1548088.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Zasmidium;s__Zasmidium_xenoparkii,ASV1441,1,100,NA,Fungi,NA,
403,Capnobotryella_sp|AM746201|SH1641293.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Teratosphaeriaceae;g__Capnobotryella;s__Capnobotryella_sp,ASV1443,1,85.561,NA,Fungi,NA,
404,Teichospora_thailandica|KP899141|SH1563013.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Teichosporaceae;g__Teichospora;s__Teichospora_thailandica,ASV1444,1,99.531,NA,Fungi,NA,
405,Helotiales_sp|GU083256|SH1564475.08FU|reps|k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__unidentified;g__unidentified;s__Helotiales_sp,ASV1445,1,94.17,NA,Fungi,NA,
406,Cladosporium_delicatulum|HM148081|SH2320203.08FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium;s__Cladosporium_delicatulum,ASV414,1,99.49,NA,Fungi,NA,
407,Zygophiala_wisconsinensis|AY598853|SH1552371.08FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Schizothyriaceae;g__Zygophiala;s__Zygophiala_wisconsinensis,ASV417,1,100,NA,Fungi,NA,
408,Ochroconis_cordanae|KF156022|SH1551238.08FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Venturiales;f__Sympoventuriaceae;g__Ochroconis;s__Ochroconis_cordanae,ASV1448,1,100,NA,Fungi,NA,
409,Kondoa_sp|KY767667|SH1566866.08FU|reps|k__Fungi;p__Basidiomycota;c__Agaricostilbomycetes;o__Agaricostilbales;f__Kondoaceae;g__Kondoa;s__Kondoa_sp,ASV145,1,99.119,NA,Fungi,NA,
410,Paraphoma_dioscoreae|KF251167|SH1576190.08FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Paraphoma;s__Paraphoma_dioscoreae,ASV1450,1,99.517,NA,Fungi,NA,
411,Meyerozyma_caribbica|EU569003|SH2154451.08FU|refs|k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Debaryomycetaceae;g__Meyerozyma;s__Meyerozyma_caribbica,ASV1451,1,100,NA,Fungi,NA,
412,Diaporthe_sp|KM265692|SH1540688.08FU|reps|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Diaporthales;f__Diaporthaceae;g__Diaporthe;s__Diaporthe_sp,ASV1452,1,95.798,NA,Fungi,NA,
413,Rhodotorula_paludigena|AF444492|SH1558731.08FU|refs|k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Sporidiobolales;f__Sporidiobolaceae;g__Rhodotorula;s__Rhodotorula_paludigena,ASV1453,1,98.895,NA,Fungi,NA,
414,Aspergillus_sp|KM066544|SH1530681.08FU|reps|k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Aspergillus;s__Aspergillus_sp----Aspergillus_terreus|MF848990|SH1530694.08FU|reps|k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Aspergillus;s__Aspergillus_terreus----Aspergillus_terreus|KU745411|SH1530551.08FU|reps|k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Aspergillus;s__Aspergillus_terreus----Aspergillus_terreus|KC582297|SH1530190.08FU|reps|k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Aspergillus;s__Aspergillus_terreus,ASV1455,4,99.7985,0.232672158,Fungi,NA,
415,Bannoa_ogasawarensis|AB035719|SH1538821.08FU|reps|k__Fungi;p__Basidiomycota;c__Cystobasidiomycetes;o__Erythrobasidiales;f__Erythrobasidiaceae;g__Bannoa;s__Bannoa_ogasawarensis,ASV1456,1,93.035,NA,Fungi,NA,
416,Golubevia_pallescens|DQ317636|SH1539624.08FU|refs|k__Fungi;p__Basidiomycota;c__Exobasidiomycetes;o__Golubeviales;f__Golubeviaceae;g__Golubevia;s__Golubevia_pallescens,ASV1457,1,87.029,NA,Fungi,NA,
417,Hannaella_luteola|AF444323|SH1522791.08FU|refs|k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Hannaella;s__Hannaella_luteola,ASV428,1,98.54,NA,Fungi,NA,
418,Hannaella_oryzae|JQ754042|SH1522796.08FU|reps|k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Hannaella;s__Hannaella_oryzae,ASV146,1,98.225,NA,Fungi,NA,
419,Dothideomycetes_sp|JQ388924|SH1579759.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__unidentified;f__unidentified;g__unidentified;s__Dothideomycetes_sp,ASV1460,1,99.441,NA,Fungi,NA,
420,Cryptococcus_sp|KM246228|SH1528216.08FU|reps|k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Tremellaceae;g__Cryptococcus;s__Cryptococcus_sp,ASV1461,1,99.408,NA,Fungi,NA,
421,Phialophora_cyclaminis|HQ713776|SH1578228.08FU|refs|k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Phialophora;s__Phialophora_cyclaminis,ASV1468,1,97.531,NA,Fungi,NA,
422,Fungi_sp|KX515787|SH1556212.08FU|reps|k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__Fungi_sp,ASV1469,1,98.419,NA,Fungi,NA,
423,Cryptococcus_sp|GQ181170|SH1648403.08FU|reps|k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Tremellaceae;g__Cryptococcus;s__Cryptococcus_sp,ASV147,1,100,NA,Fungi,NA,
424,Erythrobasidium_sp|KT328821|SH1650618.08FU|reps|k__Fungi;p__Basidiomycota;c__Cystobasidiomycetes;o__Erythrobasidiales;f__Erythrobasidiaceae;g__Erythrobasidium;s__Erythrobasidium_sp,ASV1470,1,97.688,NA,Fungi,NA,
425,Trichomeriaceae_sp|KP174851|SH1597911.08FU|reps|k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Trichomeriaceae;g__unidentified;s__Trichomeriaceae_sp,ASV1472,1,96.429,NA,Fungi,NA,
426,Pleosporales_sp|JX135623|SH1635393.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__unidentified;g__unidentified;s__Pleosporales_sp,ASV1474,1,89.302,NA,Fungi,NA,
427,Pleosporales_sp|KJ867219|SH1566071.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__unidentified;g__unidentified;s__Pleosporales_sp,ASV1475,1,100,NA,Fungi,NA,
428,Ramichloridium_apiculatum|EU041791|SH2250719.08FU|refs_singleton|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Dissoconiaceae;g__Ramichloridium;s__Ramichloridium_apiculatum,ASV1476,1,100,NA,Fungi,NA,
429,Leptospora_sp|KX515521|SH1595852.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Leptospora;s__Leptospora_sp,ASV443,1,98.661,NA,Fungi,NA,
430,Cryptococcus_sp|JN811084|SH1576897.08FU|reps|k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Tremellaceae;g__Cryptococcus;s__Cryptococcus_sp,ASV1482,1,98.83,NA,Fungi,NA,
431,Skeletocutis_odora|UDB020314|SH1551707.08FU|refs|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Fomitopsidaceae;g__Skeletocutis;s__Skeletocutis_odora,ASV1483,1,94.059,NA,Fungi,NA,
432,Monographella_nivalis|AB586986|SH1555459.08FU|refs|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Hyponectriaceae;g__Monographella;s__Monographella_nivalis,ASV1484,1,99.435,NA,Fungi,NA,
433,Agaricomycetes_sp|JN943113|SH1523632.08FU|reps|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__unidentified;f__unidentified;g__unidentified;s__Agaricomycetes_sp,ASV1485,1,96.753,NA,Fungi,NA,
434,Coprinellus_impatiens|JN159510|SH1513457.08FU|reps|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Psathyrellaceae;g__Coprinellus;s__Coprinellus_impatiens,ASV1486,1,97.569,NA,Fungi,NA,
435,Exophiala_alcalophila|JF747041|SH1529593.08FU|refs|k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Exophiala;s__Exophiala_alcalophila,ASV1487,1,100,NA,Fungi,NA,
436,Teratosphaeriaceae_sp|KU578118|SH1549738.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Teratosphaeriaceae;g__unidentified;s__Teratosphaeriaceae_sp,ASV1488,1,89.14,NA,Fungi,NA,
437,Venturiales_sp|FR682326|SH1626902.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Venturiales;f__unidentified;g__unidentified;s__Venturiales_sp,ASV1489,1,94.416,NA,Fungi,NA,
438,Uwebraunia_dekkeri|AF173309|SH1930240.08FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Dissoconiaceae;g__Uwebraunia;s__Uwebraunia_dekkeri,ASV149,1,96.833,NA,Fungi,NA,
439,Cylindrobasidium_sp|KM104124|SH1642581.08FU|reps|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Physalacriaceae;g__Cylindrobasidium;s__Cylindrobasidium_sp,ASV1492,1,98.905,NA,Fungi,NA,
440,Phellinus_gilvus|KF800257|SH1525072.08FU|reps|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Hymenochaetales;f__Hymenochaetaceae;g__Phellinus;s__Phellinus_gilvus,ASV1493,1,99.621,NA,Fungi,NA,
441,Dissoconium_aciculare|AF173308|SH1718969.08FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Dissoconiaceae;g__Dissoconium;s__Dissoconium_aciculare,ASV1495,1,96.396,NA,Fungi,NA,
442,Hyphodermella_rosae|FN600384|SH1573649.08FU|refs|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Meruliaceae;g__Hyphodermella;s__Hyphodermella_rosae,ASV1496,1,100,NA,Fungi,NA,
443,Peniophora_laxitexta|KR093906|SH1646405.08FU|reps|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Peniophoraceae;g__Peniophora;s__Peniophora_laxitexta,ASV1498,1,99.558,NA,Fungi,NA,
444,Uwebraunia_dekkeri|AF173309|SH1930240.08FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Dissoconiaceae;g__Uwebraunia;s__Uwebraunia_dekkeri,ASV15,1,97.285,NA,Fungi,NA,
445,Cystofilobasidium_macerans|AF444329|SH1650089.08FU|refs|k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Cystofilobasidiales;f__Cystofilobasidiaceae;g__Cystofilobasidium;s__Cystofilobasidium_macerans,ASV150,1,97.561,NA,Fungi,NA,
446,Setomelanomma_holmii|KX844983|SH1616189.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Setomelanomma;s__Setomelanomma_holmii,ASV1502,1,92.208,NA,Fungi,NA,
